,CódigoCiclo,NomeCiclo,SiglasCiclo,
,D3IFC000200,Desenvolvemento de aplicacións multiplataforma,DAM,
Curso,Código,Nome,Horas,PeriodosSemanais
1º,MP0484,Bases de datos,187,7
1º,MP0487,Contornos de desenvolvemento,78,3
1º,MP0179,Inglés profesional (GS),60,2
1º,MP1709,Itinerario persoal para a empregabilidade I,107,4
1º,MP0373,Linguaxes de marcas e sistemas de xestión de información,103,4
1º,MP0485,Programación,240,9
1º,MP0483,Sistemas informáticos,155,6
1º,MP1708,Sostibilidade aplicada ao sistema produtivo,30,1
2º,MP0486,Acceso a datos,220,8
2º,MO0004,Afondamento nas competencias profesionais (GS),30,1
2º,MP0488,Desenvolvemento de interfaces,191,7
2º,MP1665,Dixitalización aplicada aos sectores produtivos (GS),30,1
2º,MO0002,Habilidades comunicativas en lingua estranxeira (GS),60,2
2º,MP1710,Itinerario persoal para a empregabilidade II,50,2
2º,MP0490,Programación de servizos e procesos,109,4
2º,MP0489,Programación multimedia e dispositivos móbiles,191,7
2º,MP0492,Proxecto intermodular de desenvolvemento de aplicacións multiplataforma,50,0
2º,MP0491,Sistemas de xestión empresarial,109,4
,CódigoCiclo,NomeCiclo,SiglasCiclo,
,D3IFC000100,Administración de sistemas informáticos en rede,ASIR,
Curso,Código,Nome,Horas,PeriodosSemanais
1º,MP0371,Fundamentos de hardware,78,3
1º,MP0369,Implantación de sistemas operativos,213,8
1º,MP0179,Inglés profesional (GS),60,2
1º,MP1709,Itinerario persoal para a empregabilidade I,107,4
1º,MP0373,Linguaxes de marcas e sistemas de xestión de información,103,4
1º,MP0370,Planificación e administración de redes,213,8
1º,MP1708,Sostibilidade aplicada ao sistema produtivo,30,1
1º,MP0372,Xestión de bases de datos,156,6
2º,MP0374,Administración de sistemas operativos,219,8
2º,MP0377,Administración de sistemas xestores de bases de datos,109,4
2º,MO0004,Afondamento nas competencias profesionais (GS),30,1
2º,MP1665,Dixitalización aplicada aos sectores produtivos (GS),30,1
2º,MO0002,Habilidades comunicativas en lingua estranxeira (GS),60,2
2º,MP0376,Implantación de aplicacións web,164,6
2º,MP1710,Itinerario persoal para a empregabilidade II,50,2
2º,MP0379,Proxecto intermodular de administración de sistemas informáticos en rede,50,0
2º,MP0378,Seguridade e alta dispoñibilidade,137,5
2º,MP0375,Servizos de rede e internet,191,7
,CódigoCiclo,NomeCiclo,SiglasCiclo,
,D2IFC000100,Sistemas microinformáticos e redes,SMR,
Curso,Código,Nome,Horas,PeriodosSemanais
1º,MP0223,Aplicacións ofimáticas,184,7
1º,MP0156,Inglés profesional (GM),60,2
1º,MP1709,Itinerario persoal para a empregabilidade I,107,4
1º,MP0221,Montaxe e mantemento de equipamentos,206,8
1º,MP0225,Redes locais,213,8
1º,MP0222,Sistemas operativos monoposto,160,6
1º,MP1708,Sostibilidade aplicada ao sistema produtivo,30,1
2º,MO0003,Afondamento nas competencias profesionais (GM),30,1
2º,MP0228,Aplicacións web,163,6
2º,MP1664,Dixitalización aplicada aos sectores produtivos (GM),30,1
2º,MO0001,Habilidades comunicativas en lingua estranxeira (GM),60,2
2º,MP1710,Itinerario persoal para a empregabilidade II,50,2
2º,MP1713,Proxecto intermodular (GM),50,0
2º,MP0226,Seguridade informática,219,8
2º,MP0227,Servizos en rede,219,8
2º,MP0224,Sistemas operativos en rede,219,8
